0,1,2,3
The “mainstream” media,,"“Fake News,  Fake & Dishonest reporting”",https://twitter.com/realDonaldTrump/status/1056700376718684160
The “mainstream” media,,"“inaccurate, and even fraudulent, reporting of the news”",https://twitter.com/realDonaldTrump/status/1056879122348195841
The “mainstream” media,,“Fake News Media”,https://twitter.com/realDonaldTrump/status/1056879122348195841
The “mainstream” media,,“the true Enemy of the People”,https://twitter.com/realDonaldTrump/status/1056879122348195841
The “mainstream” media,,"“Fake News,  Fake & Dishonest reporting”",https://twitter.com/realDonaldTrump/status/1056880287974649856
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057059603605831680
The “mainstream” media,,“keep purposely and inaccurately reporting that I said the “Media is the Enemy of the People.””,https://twitter.com/realDonaldTrump/status/1057059603605831680
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057059603605831680
The “mainstream” media,,“Enemy of the People”,https://twitter.com/realDonaldTrump/status/1057059603605831680
The “mainstream” media,,“false information not good!”,https://twitter.com/realDonaldTrump/status/1057059603605831680
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057063101189836801
The “mainstream” media,,“Enemy of the People”,https://twitter.com/realDonaldTrump/status/1057063101189836801
The “mainstream” media,,“dishonest reporters”,https://twitter.com/realDonaldTrump/status/1057063101189836801
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057063101189836801
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1057620518751428608
The “mainstream” media,,“Disgraceful!”,https://twitter.com/realDonaldTrump/status/1057620518751428608
Jared Polis,candidate for governor of Colorado,“weak on crime and weak on borders”,https://twitter.com/realDonaldTrump/status/1058065457851351040
Jared Polis,candidate for governor of Colorado,“could never do the job”,https://twitter.com/realDonaldTrump/status/1058065457851351040
Harry Reid,Former U.S. senator,“went insane”,https://twitter.com/realDonaldTrump/status/1057637708296794114
Harry Reid,Former U.S. senator,"“when he was sane, agreed with us”",https://twitter.com/realDonaldTrump/status/1057683481793302528
Dave Roberts,"Manager, L.A. Dodgers","“takes out a pitcher who is loose & dominating through almost 7 innings, Rich Hill of Dodgers, and brings in nervous reliever(s) who get shellacked”",https://twitter.com/realDonaldTrump/status/1056391795523895296
Dave Roberts,"Manager, L.A. Dodgers",“big mistake!”,https://twitter.com/realDonaldTrump/status/1056391795523895296
Paul D. Ryan,House Speaker,"“should be focusing on holding the Majority rather than giving his opinions on Birthright Citizenship, something he knows nothing about!”",https://twitter.com/realDonaldTrump/status/1057674390446448642
Kyrsten Sinema,Candidate for U.S. Senate,“doesn’t even think”,https://twitter.com/realDonaldTrump/status/1058825551090237441
Kyrsten Sinema,Candidate for U.S. Senate,"“If it were up to Sinema - drugs, crime and illegal traffic will be flowing into Arizona at an ever increasing pace”",https://twitter.com/realDonaldTrump/status/1058825551090237441
Tom Steyer,Philanthropist and environmentalist,“Wacky”,https://twitter.com/realDonaldTrump/status/1056592374607024130
Tom Steyer,Philanthropist and environmentalist,“comes off as a crazed & stumbling lunatic”,https://twitter.com/realDonaldTrump/status/1056592374607024130
Tom Steyer,Philanthropist and environmentalist,“should be running out of money pretty soon”,https://twitter.com/realDonaldTrump/status/1056592374607024130
"Tallahassee, Fla.",,“poorly run”,https://twitter.com/realDonaldTrump/status/1056922209111994373
"Tallahassee, Fla.",,“one of the most corrupt cities in the Country!”,https://twitter.com/realDonaldTrump/status/1056922209111994373
Elizabeth Warren,United States senator,“Pocahontas”,https://twitter.com/realDonaldTrump/status/1057325717162213378
Maxine Waters,U.S. congresswoman,“the most Corrupt Member of Congress!”,https://twitter.com/realDonaldTrump/status/1058673875372908544
Stacey Abrams,Candidate for Georgia governor ,“will destroy the State”,https://twitter.com/realDonaldTrump/status/1055075245743374336
CNN,,“lowly rated”,https://twitter.com/realDonaldTrump/status/1055719340832686080
CNN,,“go wild and scream”,https://twitter.com/realDonaldTrump/status/1055719340832686080
Andrew Gillum,Candidate for Florida governor,"“presides over one of the worst run, and most corrupt, cities in Florida”",https://twitter.com/realDonaldTrump/status/1054187956024590336
Andrew Gillum,Candidate for Florida governor,“will make Florida the next Venezuela!”,https://twitter.com/realDonaldTrump/status/1054187956024590336
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1054451954397667328
The “mainstream” media,,“purposely false and inaccurate reporting”,https://twitter.com/realDonaldTrump/status/1055418269270716418
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1055418269270716418
The “mainstream” media,,“so bad and hateful that it is beyond description”,https://twitter.com/realDonaldTrump/status/1055418269270716418
The New York Times,,“so-called experts on Trump”,https://twitter.com/realDonaldTrump/status/1055412328571850753
The New York Times,,“wrote a long and boring article”,https://twitter.com/realDonaldTrump/status/1055412328571850753
The New York Times,,“so incorrect I do not have time here to correct it”,https://twitter.com/realDonaldTrump/status/1055412328571850753
The New York Times,,“soooo wrong!”,https://twitter.com/realDonaldTrump/status/1055412328571850753
The New York Times,,“Fake Story”,https://twitter.com/realDonaldTrump/status/1055458320390217728
The New York Times,,“more made up Fake News!”,https://twitter.com/realDonaldTrump/status/1055458320390217728
The refugee crisis in Europe,,“A total mess!”,https://twitter.com/realDonaldTrump/status/1055064484644089856
Mikie Sherrill,Congressional candidate,“a person who is looking to raise Taxes substantially”,https://twitter.com/realDonaldTrump/status/1054732552488083459
Twitter,,“have stifled growth to a point where it is obvious to all”,https://twitter.com/realDonaldTrump/status/1055822810940129283
Twitter,,“Total Bias”,https://twitter.com/realDonaldTrump/status/1055822810940129283
Jon Tester,United States Senator,“vicious and totally false statements”,https://twitter.com/realDonaldTrump/status/1052741954918866944
Jon Tester,United States Senator,“looks to be in big trouble in the Great State of Montana!”,https://twitter.com/realDonaldTrump/status/1052741954918866944
Jon Tester,United States Senator,“behaved worse than the Democrat Mob did with Justice K!”,https://twitter.com/realDonaldTrump/status/1052741954918866944
