"name","my_party","gender.x","my_race","my_type","occupation","office2","gender.y","type","state.x","district","party.y","senate_class","party.x","branch","nationality","office","office3","rank","state.y","state_house","img1","img2","img3","img4"
"valerie jarrett","d","female","b","govt",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"[[White House Office of Public Engagement and Intergovernmental Affairs|Director of the Office of Public Engagement and Intergovernmental Affairs]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/e/ed/Obama_and_Valerie_Jarrett.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4e/Valerie_Jarrett_official_portrait_small.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Barack_Obama_and_Valerie_Jarrett_in_the_West_Wing_corridor_cropped.jpg","https://upload.wikimedia.org/wikipedia/commons/b/bd/Barack_Obama_chats_with_Senior_Advisor_Valerie_Jarrett_in_the_Blue_Room%2C_White_House%2C_2010.jpg"
"adam laxalt","r","male","w","govt",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"{{flag|United States Navy}}",NA,"33rd [[Nevada Attorney General|Attorney General of Nevada]]",NA,"[[File:US-O3 insignia.svg|14px]] [[Lieutenant (navy)|Lieutenant]]",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/cc/Adam_Laxalt_by_Gage_Skidmore.jpg",NA,NA,NA
"alex azar","r","male","w","trump",NA,"General Counsel of the [[United States Department of Health and Human Services]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"24th [[United States Secretary of Health and Human Services]]","General Counsel of the [[United States Department of Health and Human Services]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/7b/Starr%2C_Kavanaugh%2C_and_Azar.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7e/Alex_Azar_official_photo.jpg","https://upload.wikimedia.org/wikipedia/commons/3/38/Alex_Azar_official_portrait.jpg",NA
"alexander acosta","r","male","w","trump",NA,"[[United States Attorney for the Southern District of Florida]]",NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"27th [[United States Secretary of Labor]]","[[United States Attorney for the Southern District of Florida]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/36/DOL_Secretary_Alexander_Acosta_swearing_in_April_28%2C_2017.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cb/Alex_Acosta_as_Assistant_Attorney_General.jpg","https://upload.wikimedia.org/wikipedia/commons/9/93/Alexander_Acosta_official_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f2/Alexander_Acosta.jpg"
"ana navarro","r","female","w","media","Political commentator, strategist",NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/10/Ana_Navarro.png",NA,NA,NA
"andrew mccabe","r","male","w","govt",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"16th [[Deputy Director of the Federal Bureau of Investigation]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/de/Andrew_G._McCabe.jpg","https://upload.wikimedia.org/wikipedia/commons/7/79/Andrew_McCabe_official_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/0/06/Andrew_McCabe_Podium.jpg",NA
"andrew wheeler","r","male","w","govt",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"[[Administrator of the Environmental Protection Agency]]<br>Acting",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/5/5b/Andrew_Wheeler_official_photo.jpg",NA,NA,NA
"andy puzder","r","male","w","business",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/2/21/Andrew_Puzder.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e1/Andrew_Puzder_by_Gage_Skidmore.jpg",NA,NA
"anthony scaramucci","r","male","w","trump",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,NA,NA,"[[White House Communications Director|White House Director of Communications]]",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/1b/Anthony_Scaramucci_at_SALT_Conference_2016_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f2/Anthony_Scaramucci_by_Gage_Skidmore.jpg",NA,NA
"arnold schwarzenegger","r","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Republican Party (United States)|Republican]]",NA,NA,"[[Austrian Armed Forces]]",NA,"Governor of California",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/31/Schwarzenegger_Bush.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6b/Thal_-_Geburtshaus_Arnold_Schwarzenegger1.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d4/US_Navy_100729-N-0208R-156_California_Gov._Arnold_Schwarzenegger_speaks_with_Hospital_Corpsman_3rd_Class_Anthony_Ameen%2C_center%2C_and_Marine_Sgt._Maj._Patrick_A._Wilkinson.jpg","https://upload.wikimedia.org/wikipedia/commons/5/53/Reagan%2BSchwarzenegger1984.jpg"
